iter	Logloss
0	0.6875942102
1	0.6823307671
2	0.6767467092
3	0.6719950005
4	0.6674127259
5	0.6618446572
6	0.6560325612
7	0.6506347239
8	0.6447473045
9	0.6401700527
10	0.6346437915
11	0.6290391438
12	0.6233829383
13	0.6175871172
14	0.6122890811
15	0.6061652758
16	0.600828429
17	0.5957041851
18	0.590544127
19	0.5861676701
20	0.581490555
21	0.5767148144
22	0.5718928475
23	0.5657764481
24	0.5608031991
25	0.5554419552
26	0.5509049261
27	0.5470550865
28	0.5424275434
29	0.5386577935
30	0.5344205743
31	0.5301642308
32	0.5264682808
33	0.5220786739
34	0.5185545583
35	0.5143240034
36	0.5106690285
37	0.5061992512
38	0.5015463931
39	0.4979509694
40	0.4941262522
41	0.4909989005
42	0.4874058796
43	0.4838421821
44	0.4806984208
45	0.4771896016
46	0.4739394819
47	0.4702130464
48	0.4671124034
49	0.4639652995
50	0.4603464916
51	0.4570818468
52	0.4537197778
53	0.4506822825
54	0.4471322757
55	0.4433115417
56	0.4403444274
57	0.4371523949
58	0.4343555428
59	0.4308690874
60	0.4278245032
61	0.4248719122
62	0.4216516837
63	0.4185048584
64	0.415343966
65	0.4113448785
66	0.4082721329
67	0.405523036
68	0.4030170157
69	0.4002834948
70	0.3973022641
71	0.3948083146
72	0.3922728661
73	0.3891128021
74	0.3859423758
75	0.3825001304
76	0.3796000976
77	0.3763775689
78	0.3735749108
79	0.3712980354
80	0.3684712475
81	0.3658319646
82	0.3632833068
83	0.3612646964
84	0.3584551879
85	0.3560600345
86	0.3531555855
87	0.3507794565
88	0.3484797176
89	0.346042851
90	0.3430978951
91	0.3409297973
92	0.3388232123
93	0.336829769
94	0.3347762431
95	0.3323604933
96	0.3299285152
97	0.3275770306
98	0.3254415121
99	0.32363908
100	0.3213009147
101	0.3195309317
102	0.3174760185
103	0.3148644422
104	0.312858878
105	0.3110718949
106	0.3093517137
107	0.3070285365
108	0.3052224083
109	0.3034384812
110	0.3019154323
111	0.2995092547
112	0.297923083
113	0.2962189066
114	0.2943263944
115	0.2923378503
116	0.290611378
117	0.2887323498
118	0.2870314272
119	0.2852023136
120	0.2835797692
121	0.2815893562
122	0.2797121342
