iter	Passed	Remaining
0	0	713
1	1	580
2	1	586
3	2	587
4	2	587
5	3	587
6	4	586
7	4	587
8	5	609
9	6	623
10	7	643
11	7	656
12	8	654
13	9	651
14	9	648
15	10	645
16	11	643
17	11	641
18	12	639
19	13	637
20	13	635
21	14	634
22	14	631
23	15	628
24	16	624
25	16	622
26	17	613
27	17	612
28	18	610
29	18	613
30	19	617
31	20	619
32	21	623
33	22	626
34	22	632
35	23	637
36	24	639
37	25	638
38	26	640
39	26	643
40	27	645
41	28	643
42	28	640
43	29	638
44	29	634
45	30	632
46	31	629
47	31	627
48	32	626
49	32	624
50	33	622
51	34	621
52	34	619
53	35	617
54	36	624
55	37	633
56	38	643
57	39	642
58	40	640
59	40	638
60	41	638
61	42	636
62	42	634
63	43	632
64	43	629
65	44	627
66	44	625
67	45	624
68	46	622
69	46	621
70	47	619
71	47	617
72	48	616
73	49	614
74	49	611
75	50	609
76	50	608
77	51	613
78	53	623
79	54	628
80	55	626
81	55	625
82	56	623
83	57	621
84	57	620
85	58	618
86	58	617
87	59	615
88	59	614
89	60	612
90	61	611
91	61	610
92	62	608
93	63	607
94	63	606
95	64	604
96	64	603
97	65	602
98	66	600
99	66	602
100	67	601
101	69	607
102	70	611
103	70	610
104	71	609
105	72	607
106	72	606
107	73	604
108	73	603
109	74	602
110	75	600
111	75	599
112	76	598
113	76	597
114	77	595
115	78	594
116	78	593
117	79	591
118	79	590
119	80	588
120	80	587
121	81	585
122	82	586
123	82	585
124	83	584
125	85	591
126	85	591
127	86	589
128	87	588
129	87	587
130	88	585
131	89	585
132	89	585
133	90	584
134	91	583
135	91	581
136	92	580
137	93	582
138	94	583
139	95	588
140	97	593
141	98	596
142	100	599
143	100	599
144	101	598
145	102	597
146	102	596
147	103	594
148	103	592
149	104	591
150	104	590
151	105	588
152	106	587
153	106	586
154	107	583
155	107	582
156	108	581
157	108	579
158	109	578
159	109	577
160	110	576
161	111	574
162	111	573
163	112	573
164	113	572
165	114	573
166	115	575
167	116	577
168	117	576
169	117	575
170	118	574
171	119	573
172	119	572
173	120	571
174	120	569
175	121	568
176	121	567
177	122	566
178	123	565
179	123	564
180	124	563
181	124	561
182	125	560
183	126	559
184	126	558
185	127	556
186	127	555
187	130	562
188	131	565
189	132	564
190	133	563
191	133	562
192	134	561
193	134	560
194	135	558
195	135	557
196	136	556
197	137	555
198	137	554
199	138	553
200	138	552
201	139	551
202	140	550
203	140	549
204	141	548
205	141	547
206	142	545
207	143	544
208	143	544
209	144	544
210	146	547
211	147	547
212	147	546
213	148	545
214	149	544
215	149	543
216	150	541
217	150	540
218	151	539
219	151	538
220	152	537
221	153	536
222	153	535
223	154	534
224	154	533
225	155	532
226	156	531
227	156	530
228	157	529
229	157	528
230	158	527
231	159	527
232	160	529
233	161	530
234	162	528
235	163	527
236	163	526
237	164	525
238	164	524
239	165	523
240	166	522
241	166	522
242	167	521
243	168	521
244	169	520
245	169	520
246	170	519
247	171	519
248	171	518
249	172	517
250	173	516
251	173	515
252	174	515
253	175	515
254	176	514
255	176	514
256	177	514
257	178	513
258	179	512
259	179	511
260	180	510
261	180	509
262	181	508
263	181	507
264	182	505
265	183	504
266	183	503
267	184	503
268	184	502
269	185	501
270	185	500
271	186	499
272	187	498
273	187	497
274	188	496
275	188	495
276	189	494
277	190	494
278	192	496
279	192	496
280	193	495
281	194	494
282	194	493
283	195	492
284	195	491
285	196	490
286	196	489
287	197	488
288	198	487
289	198	486
290	199	485
291	200	485
292	200	484
293	201	483
294	201	482
295	202	481
296	203	480
297	203	480
298	204	479
299	205	479
300	206	479
301	208	480
302	208	480
303	209	479
304	209	478
305	210	477
306	211	476
307	211	475
308	212	474
309	212	474
310	213	473
311	214	472
312	214	471
313	215	470
314	216	469
315	216	468
316	217	468
317	217	467
318	218	466
319	219	465
320	219	464
321	220	464
322	221	463
323	222	463
324	223	464
325	224	464
326	225	463
327	225	462
328	226	461
329	226	460
330	227	459
331	228	458
332	228	458
333	229	457
334	229	456
335	230	455
336	230	454
337	231	453
338	232	452
339	232	451
340	233	450
341	233	450
342	234	449
343	235	448
344	236	448
345	237	449
346	239	449
347	239	449
348	240	449
349	242	449
350	243	450
351	245	451
352	246	451
353	246	450
354	247	449
355	248	448
356	248	447
357	249	447
358	249	446
359	250	445
360	251	444
361	252	444
362	253	445
363	254	445
364	255	444
365	255	443
366	256	442
367	257	441
368	257	440
369	258	439
370	258	438
371	259	438
372	260	437
373	260	436
374	261	435
375	261	434
376	262	433
377	262	432
378	263	431
379	264	430
380	264	429
381	265	428
382	265	427
383	266	427
384	267	426
385	268	426
386	269	427
387	270	426
388	270	425
389	271	424
390	272	423
391	272	422
392	273	422
393	273	421
394	274	420
395	275	419
396	275	418
397	276	417
398	276	416
399	277	415
400	277	414
401	278	413
402	278	413
403	279	412
404	280	411
405	280	410
406	281	409
407	281	408
408	282	408
409	284	409
410	285	408
411	285	408
412	286	407
413	287	406
414	287	405
415	288	404
416	289	404
417	289	403
418	290	402
419	290	401
420	291	400
421	292	399
422	292	399
423	293	398
424	293	397
425	294	396
426	294	395
427	295	394
428	296	394
429	296	393
430	297	392
431	298	392
432	299	392
433	300	392
434	301	391
435	302	390
436	302	390
437	303	389
438	303	388
439	304	387
440	305	386
441	305	386
442	306	385
443	306	384
444	307	383
445	308	382
446	308	381
447	309	381
448	309	380
449	310	379
450	311	378
451	311	377
452	312	377
453	313	376
454	315	377
455	316	377
456	317	376
457	318	377
458	320	377
459	321	377
460	322	377
461	323	376
462	323	375
463	324	374
464	325	374
465	325	373
466	326	372
467	327	371
468	327	371
469	328	370
470	330	371
471	331	370
472	332	370
473	332	369
474	333	368
475	334	367
476	334	367
477	335	366
478	336	365
479	336	364
480	337	364
481	337	363
482	338	362
483	339	361
484	339	360
485	340	360
486	341	359
487	341	358
488	342	357
489	343	357
490	343	356
491	344	355
492	346	355
493	347	355
494	347	354
495	348	354
496	349	353
497	349	352
498	350	351
499	350	350
500	351	350
501	352	349
502	352	348
503	353	347
504	353	346
505	354	346
506	355	345
507	355	344
508	356	343
509	357	343
510	357	342
511	358	341
512	358	340
513	360	341
514	362	340
515	363	340
516	364	340
517	364	339
518	365	338
519	365	337
520	366	336
521	367	336
522	367	335
523	368	334
524	368	333
525	369	332
526	369	331
527	370	331
528	371	330
529	371	329
530	372	328
531	372	327
532	373	327
533	373	326
534	374	325
535	375	325
536	377	325
537	378	324
538	379	324
539	379	323
540	380	322
541	380	321
542	381	320
543	381	320
544	382	319
545	383	318
546	383	317
547	384	316
548	384	316
549	385	315
550	386	314
551	386	313
552	387	313
553	387	312
554	388	311
555	389	310
556	389	310
557	391	310
558	393	310
559	394	309
560	395	309
561	396	308
562	396	308
563	397	307
564	398	306
565	399	305
566	399	305
567	400	304
568	400	303
569	401	302
570	402	302
571	402	301
572	403	300
573	403	299
574	404	298
575	405	298
576	406	298
577	408	298
578	408	297
579	409	296
580	409	295
581	410	294
582	411	294
583	411	293
584	412	292
585	413	291
586	413	291
587	414	290
588	414	289
589	415	288
590	416	287
591	416	287
592	417	286
593	417	285
594	418	284
595	418	283
596	419	283
597	420	282
598	420	281
599	422	281
600	423	281
601	424	280
602	425	279
603	425	279
604	426	278
605	426	277
606	427	276
607	428	276
608	428	275
